Zip,Coastal/Inland,Pair,Date,Price,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
10010.0,1,21,2016-06,2295000.0,334297.81,33.78,92.81,33.41,39.44,92.74,39.11,43.13
94014.0,0,1,2016-07,699000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
94015.0,1,1,2016-07,759500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
93940.0,0,2,2016-07,839125.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
93950.0,1,2,2016-07,899999.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
93109.0,1,3,2016-07,1449500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
93108.0,0,3,2016-07,3767500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
77505.0,1,4,2016-07,229999.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
77504.0,0,4,2016-07,187450.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33137.0,1,5,2016-07,571330.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33127.0,0,5,2016-07,250000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33129.0,1,6,2016-07,519631.5,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33145.0,0,6,2016-07,375000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33131.0,1,7,2016-07,479000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33130.0,0,7,2016-07,419000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33308.0,1,8,2016-07,449000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33060.0,0,9,2016-07,245000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
33062.0,1,9,2016-07,398500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
70124.0,1,10,2016-07,475000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
70118.0,0,10,2016-07,,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
70122.0,1,11,2016-07,210000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
70119.0,0,11,2016-07,315000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
70126.0,1,12,2016-07,129500.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
77062.0,0,13,2016-07,229900.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
77058.0,1,13,2016-07,204000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
77015.0,1,14,2016-07,135000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10305.0,1,16,2016-07,479000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10304.0,0,16,2016-07,548400.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
10314.0,1,17,2016-07,465000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
11204.0,0,18,2016-07,739000.0,334806.31,35.35,90.1,35.05,41.08,90.16,40.79,43.64
